Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Trimestre],Champ de vision.=[01/01/2025 - 31/03/2025],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"39 817,07 €","23,25 %","30,34 %",1 598,"29,81 %","51,61 %","39 990,51 €","24,67 %","30,60 %","32 865,96 €","31,48 %","51,75 %",1 605,"31,56 %","51,84 %",208,"184,93 %","49,64 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"13 505,17 €","-14,74 %","120,09 %",968,"-14,34 %","135,52 %","13 556,61 €","-13,95 %","116,95 %","6 983,58 €","-13,35 %","131,35 %",974,"-13,35 %","131,35 %",34,"36,00 %","36,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"9 916,49 €","94,34 %","41,52 %",394,"96,02 %","35,40 %","9 997,91 €","99,11 %","44,67 %","4 712,39 €","100,51 %","3,45 %",397,"100,51 %","38,33 %",12,"20,00 %","-14,29 %"
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"8 343,93 €","-16,92 %","-32,60 %",488,"-18,39 %","-31,36 %","8 455,04 €","-16,36 %","-33,95 %","5 128,20 €","-17,50 %","-32,78 %",495,"-17,77 %","-32,84 %",8,"-60,00 %","-90,12 %"
B00006JAQ7,"Hama 007103 - Ruban photo transparent, Blanc, 1000 pièces (2 paquets de 500 pièces)",Hama,"7 586,41 €","280,27 %","127,31 %",2 166,"442,86 %","134,16 %","7 407,93 €","275,01 %","117,58 %","6 064,61 €","422,87 %","91,62 %",2 110,"434,18 %","122,81 %",12,,"200,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"6 832,08 €","-36,85 %","-56,50 %",418,"-41,78 %","-61,55 %","6 829,95 €","-36,69 %","-56,86 %","4 603,92 €","-41,97 %","-60,64 %",419,"-41,48 %","-61,80 %",43,"19,44 %","-34,85 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"5 778,57 €","-6,89 %","13,12 %",29,"-9,38 %","20,83 %","5 778,57 €","-9,78 %","23,16 %","5 834,18 €","-11,97 %","16,85 %",29,"-12,12 %","31,82 %",3,"-25,00 %",
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"5 719,40 €","25,84 %","-5,21 %",266,"29,13 %","-26,92 %","5 840,76 €","28,51 %","-4,49 %","2 726,59 €","33,28 %","-25,93 %",273,"33,17 %","-25,61 %",10,"233,33 %","-47,37 %"
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"5 669,29 €","33,24 %","74,70 %",220,"28,65 %","77,42 %","5 715,25 €","35,79 %","73,20 %","4 072,59 €","31,91 %","56,22 %",222,"31,36 %","76,19 %",12,"200,00 %","33,33 %"
B00005YVIU,"Hama Distributeurs Coins photo (1000 coins, autocollants, distributeur pratique, sans acide, sans solvant, adapté albums, permet un archivage fiable, scrapbooking) Transparent",Hama,"5 661,85 €","261,63 %","2 397,95 %",1 651,"475,26 %","4 617,14 %","5 505,79 €","256,96 %","2 391,98 %","4 654,26 €","465,93 %","3 844,96 %",1 601,"465,72 %","4 608,82 %",10,"233,33 %",
