Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Semaine],Champ de vision.=[09/02/2025 - 15/02/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","COGS expédié","Unités expédiées","Retours client"
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"427,68 €","491,40 €",54,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"398,34 €","398,00 €",2,
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"397,50 €","283,23 €",3,
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"378,61 €","200,76 €",28,1
B000N8UX88,"Hama Trépied Appareil Photo Star 20""",Hama,"372,07 €","228,36 €",66,
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"334,84 €","154,31 €",13,2
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"324,80 €","196,84 €",19,
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"316,54 €","199,88 €",19,
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"279,72 €","226,52 €",28,
B0764LMPBN,"Hama Multiprise avec Interrupteur 10 Prises 16A (Rallonge multiprises 3m, Bloc 10 Prises Type F Schuko, 3500W Max, Idéal Bureau PC luminaires, Atelier, Meuble TV, Garage) Noir",Hama,"249,90 €","155,40 €",15,
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"201,52 €","122,10 €",11,3
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"172,27 €","101,89 €",23,
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"171,68 €","115,44 €",8,
B07HY9LK8J,"Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d'ordinateur AZERTY, design, idéal pour les maladroits) Noir",Rapoo,"168,17 €","172,80 €",18,
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"155,61 €","93,51 €",9,
B004LQ1PLW,"Hama Sacoche de Rangement Sportsline (Sacoche de projecteur, Ordinateur et disques durs, Taille L, 27 x 39 x 15 cm, rembourré, pour Acer, BenQ, Epson, LG, Optoma BeamerL) Noir",Hama,"146,28 €","107,76 €",4,
B00292AZN4,"Hama Cadre photo Clip-Fixe (sans bordure, 30 x 40 cm, Reflex) Blanc",Hama,"139,36 €","41,47 €",13,1
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"136,12 €","94,71 €",41,
B0B636GVMW,"Hama Radio numérique DIR3300SBT (Spotify, WLAN/LAN/Dab + / FM, écran Couleur, Fonction USB, réveil et Diffusion Wi-FI, multiroom, télécommande, Application de Radio Gratuite) Blanc",Hama,"133,30 €","98,00 €",1,
B00006JA17,"Hama Étuis à négatifs, Papier Cristal, 4 Bandes de 3 négatifs, 6X7 cm pour 3 negatif et jusqu'a 6 X 9 cm pour 2 negatif, 100 pièces",Hama,"129,48 €","94,26 €",6,
B079PN72PJ,"Hama Souris Optique sans Fil Riano (Souris Gauche sans Fil, avec récepteur Nano USB, Vertical, 800-1600 dpi, Interrupteur de Marche/arrêt, 3 Boutons, 2,4 GHz) Noir",Hama,"115,33 €","80,64 €",8,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"114,35 €","50,15 €",5,
B0002VFL1U,"Hama Pochettes pour CD-ROM/DVD-ROM (Pochettes CD Plastique, Pochette de Protection colorées, Lot de 100, Multicolore) Bleu/Orange/Violet/Rose/Vert",Hama,"112,41 €","72,90 €",9,
