Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Semaine],Champ de vision.=[16/02/2025 - 22/02/2025],Rapport mis à jour=[21/03/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","COGS expédié","Unités expédiées","Retours client"
B0000AISCF,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 21 x 29,7 cm (DIN 4) avec bordure de 9 mm x 17 mm, pour une photo de 15 x 20 cm) Noir",Hama,"469,06 €","350,30 €",94,
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"398,34 €","398,00 €",2,
B00006IVA8,"Hama Cassette de Nettoyage VHS pour MAGNETOSCOPE (Nettoyeur de tête vidéo lecteurs VHS/S-VHS/VHS-C/S-VHS-C, Liquide de Nettoyage Inclus, Nettoyant de Têtes Vidéo - K7 Nettoyage VHS) Noir",Hama,"364,32 €","418,60 €",46,
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"351,87 €","186,42 €",26,
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"299,88 €","142,44 €",12,1
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"277,13 €","138,75 €",37,
B001JTV1HW,"Hama Boîtier standard (pour DVD, convient également aux CD et aux Blu-ray, avec film pour l'insertion de la jaquette, lot de 5) Transparent",Hama,"227,08 €","127,28 €",43,
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"219,84 €","153,36 €",24,
B08HQH5PSV,"Hama Horloge Murale Numérique Jumbo (Radio-pilotée DCF, Très Grand Format d’Affichage, Affichage XL Heure-Date-température int.-humidité, à Suspendre ou Poser) Noir",Hama,"213,28 €","160,00 €",4,
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"201,46 €","122,10 €",11,1
B00AJKQ4YC,"Hama 2 Pieds Enceintes Universels (Supports Haut-Parleur, Hauteur réglable Max. 123 cm, antidérapant, Charge Max. 5 kg/Pied, câbles cachés, Haut-parleurs Hi-FI/Stéréo/Home Cinema) Noir",Hama,"196,15 €","120,09 €",3,
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"179,82 €","145,62 €",18,
B01K47GW46,"Hama Album photo Jumbo ""La Fleur"" 30 x 30 cm (livre photo de 100 pages blanches, album photos souvenirs pour 400 photos au format 10x15 cm, à personnaliser- à coller, Idée Cadeau, motif Feuilles) Noir",Hama,"173,12 €","111,84 €",16,1
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"171,68 €","115,44 €",8,
B07CKR6PKL,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours assis) Marron",Hama,"164,88 €","115,02 €",18,
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"143,50 €","94,41 €",1,1
B00G3BMWQA,"Xavax Minuteur à œuf (avec fonction minuterie, sablier, en acier inoxydable) Argent",xavax,"142,31 €","84,17 €",19,
B0015NLFGE,"Hama Chemin de câbles (bande en PVC/Aluminium pour montage mural TV ou au sol, cache-câble demi-rond, 100 x 7 x 2,1 cm, entrée de câble jusqu'à 8 câbles) Gris",Hama,"134,85 €","68,75 €",5,
B0B636GVMW,"Hama Radio numérique DIR3300SBT (Spotify, WLAN/LAN/Dab + / FM, écran Couleur, Fonction USB, réveil et Diffusion Wi-FI, multiroom, télécommande, Application de Radio Gratuite) Blanc",Hama,"133,30 €","98,00 €",1,
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"129,86 €","56,16 €",12,
B0009V8VAQ,"Hama Etui pour Lecteur et CD (pour Lecteur CD, pour Discman, 3 CD, avec Sortie de câble et Boucle de Ceinture) Noir/Bleu",Hama,"127,09 €","56,21 €",11,
B07HY9LK8J,"Rapoo Clavier multimédia USB Filaire ""N2400"" (filaire, clavier d'ordinateur AZERTY, design, idéal pour les maladroits) Noir",Rapoo,"119,08 €","124,80 €",13,
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"113,28 €","88,40 €",8,
B07GCHTZ3B,"Hama Radio numérique DR40BT-PlugIn (Dab/Dab + / FM/Bluetooth/AUX, Radio-réveil intégré, écran rétro-éclairé) Blanc",Hama,"110,42 €","69,00 €",2,
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"109,56 €","76,23 €",33,
B0C5JRX9HV,"Hama Multiprise avec Interrupteur 1.4m (6 Prises typeE, Norme NF, interrupteurs général + indiv. éclairés, Protection Surtensions, Montage Mural, Sécurité Enfants, 3680W/16A) Noir",Hama,"108,30 €","84,45 €",5,1
B00006J4DM,"Hama Adaptateur d'antenne (DIN mâle - ISO Femelle) Argent",Hama,"104,13 €","60,45 €",39,
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"98,08 €","50,00 €",4,
B071VWLNZB,"Hama 00137234 Alimentation pour PC",Hama,"97,90 €","51,80 €",5,2
B0000AIS0W,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 30 x 40 cm avec bordure de 9 mm x 17 mm, pour une photo de 20 x 28 cm) Blanc",Hama,"94,92 €","61,20 €",12,
B0009N8L5O,"Trépied Appareil Photo Star 20""",Hama,"89,95 €","73,90 €",5,
B07T4DM8JJ,"Hama Album photos enfant mémo ""Forest"" (livre photo 100 pages à pochettes, 200 photos 10x15 cm, album souvenirs 22,5 x 22 cm, Emplacement CD, Album Motif Renards) Marron/Beige/Vert/Orange/Blanc",Hama,"86,94 €","49,50 €",9,
B00006JA17,"Hama Étuis à négatifs, Papier Cristal, 4 Bandes de 3 négatifs, 6X7 cm pour 3 negatif et jusqu'a 6 X 9 cm pour 2 negatif, 100 pièces",Hama,"84,80 €","62,84 €",4,1
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"80,50 €","12,32 €",14,
B09MQQM1ZJ,"Xavax Socle machine à laver avec étagère (Support Sèche Linge Lave Linge,Réhausseur de Machines, Base universelle avec Pieds Réglables en hauteur, charge 150 kg) Blanc",Xavax,"73,66 €","52,00 €",1,
B0BL1RN815,"Hama Power Bank 24000 mAh (Batterie Externe, 1 USB C + 2 USB A, Power Pack Fast Charge, Batterie pour Smartphone, Tablette, Haut-Parleur Bluetooth, Voyants LED, Chargeur Portable + Cable 0.25m) Gris",Hama,"70,20 €","51,46 €",2,
B000N8UX88,"Hama Trépied Appareil Photo Star 20""",Hama,"69,29 €","34,60 €",10,1
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"69,16 €","41,56 €",4,
B07MPQTNXF,"Xavax Sangle d’arrimage de sécurité avec cliquet pour sèche-linge, Blanc/Gris",xavax,"67,87 €","40,14 €",6,
B001E725JM,"Hama Blu-Ray de Nettoyage (pour tête de Lecture, pour éliminer la poussière dans Les lecteurs de Blu-Ray, Blu-Ray de Nettoyage) Blanc/Bleu/Rouge",Hama,"67,14 €","53,04 €",4,
