Category 1,Category 2,Cat. 1,Cat. 2,top_3_asin
-,-,Consumer Electronics,Power/Electronics,"[nan, 'Hama 00137237 Multiprises 4 Sorties, Blanc']"
-,-,Distribution Brand,Koss,"[nan, nan, nan]"
-,-,Home & Outdoor,Energy,"['Hama 00137237 Multiprises 4 Sorties, Blanc', 'Hama 00137237 Alimentation pour PC', nan]"
-,-,Mobilcom,Black Rock,[nan]
-,-,Mobile Communication,Protection & Care,[nan]
-,-,Sound & Vision,Headsets & Speakers,"[nan, nan, nan]"
Audio,Digital Radio,Audio,Digital Radio,"['Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir', 'Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Argenté', ""Hama Radio Internet Dab/Dab+ 'DR200BT' (Radio numérique FM/Dab/Dab+ Portable, Haut Parleur Bluetooth Rechargeable USB-C, Ecran Couleur, Entrée AUX, Minuteur, 30 Présélections, 8h d'écoute) Noir""]"
Audio,Digital Radio,Sound & Vision,Audio Devices,"['Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir', ""Hama Tuner Hi-FI Radio Internet,Dab/Dab+/FM, Bluetooth 'DIT2006BT' (Tuner HiFi Radio numérique WiFi, Spotify Connect, UNDOK App Control pour Smartphone ou Tablette, USB/AUX, Réveil) Noir"", 'Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Argenté']"
Audio,Headphone/Headsets,Audio,Headphone/Headsets,"['Hama Casque TV ShellTV (Casque Circum-Auriculaire Stéréo, idéal télé, câble Extra Long 6m, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, 20 Hz-20 kHz, 32 ohms, 113 DB/MW) Noir', 'Hama Casque Stéréo HK-229 (Casque Audio Supra-Auriculaire pour Lecteur mp3, iPod, Bande passante de 20 Hz - 20 kHz, Jack 3,52mm mâle, câble uni-latéral de 1,5 m, Ajustable et léger) Noir/Gris', 'Hama Casque Audio Shell (Casque Circum-Auriculaire Stéréo, 20 Hz-20 kHz, 32 ohms, 113 DB/MW, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, câble Extra Long 2 m) Noir']"
Audio,Headphone/Headsets,Mobile Communication,Headsets & Speakers,"[nan, nan, 'Hama Casque micro mono Bluetooth® ""MyVoice1300"" (intra-auriculairebande passante 20 Hz - 20 kHz, micro bande passante 100 Hz à 10 kHz, charge 2h pour 4h d\'autonomie, commande vocale) Noir']"
Audio,Headphone/Headsets,Picture World,Album,"['Hama ""Freedom Light Ecouteurs Bluetooth® sans Fil USB C - 7H d\'Autonomie, Assistant Vocaux Siri & Google, Microphone Intégré, Commande Tactile - Rouge', 'Hama ""Passion Voyage Casque Bluetooth® sans Fil USB C - 18H d4Autonomie, Réduction Active du Bruit, Mode Transparence, Assistants Vocaux Siri & Google, Charge sans Fil, Etui Inclus - Noir', nan]"
Audio,Headphone/Headsets,Sound & Vision,Headsets & Speakers,"[""Hama Ecouteurs sans Fil Tour du Cou Freedom Neck (Casque de Sport Bluetooth Intra-Auriculaires Tour d'oreille avec Micro, 10h d'autonomie, Idéal Course, Vélo, Gym, Contrôle Vocal) Noir"", 'Hama Casque Audio Shell (Casque Circum-Auriculaire Stéréo, 20 Hz-20 kHz, 32 ohms, 113 DB/MW, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, câble Extra Long 2 m) Noir', 'Hama Casque Stéréo HK-229 (Casque Audio Supra-Auriculaire pour Lecteur mp3, iPod, Bande passante de 20 Hz - 20 kHz, Jack 3,52mm mâle, câble uni-latéral de 1,5 m, Ajustable et léger) Noir/Gris']"
Audio,Headphone/Headsets,Sound & Vision,Holders & Mounting,[nan]
Audio,Headphone/Headsets | Thomson,Audio,Headphone/Headsets | Thomson,"[""Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir"", 'THOMSON Casque TV HQ HED4508 (câble Extra Long de 8 m, Casque stéréo pour TV, réglage du Volume séparé, Embout Filaire, Prise 3,5 mm avec Adaptateur de 6,35 mm) Noir', 'THOMSON Casque TV Stéthoscope HED4408 (câble de 8 m, léger pour Personnes âgées et porteurs de Lunettes, Casque stéréo pour TV, Casque Intra-auriculaire, Prise 3,5 mm, avec Adaptateur 6,35 mm) Noir']"
Audio,Headphone/Headsets | Thomson,Sound & Vision,Headsets & Speakers,"['THOMSON Casque Audio Filaire (Casque Stéréo Filaire Jack, Réglable, Supra-aural, Ultra-léger, 54g, Coussinets 27mm, 95dB, Cable 1.3m, idéal PC Smartphone Mac Tablette Ordinateur) Noir', 'THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir', ""Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir""]"
Audio,Speaker,Audio,Speaker,"['Hama Enceinte Bluetooth Pocket 3.0"" (Mini Enceinte sans Fil Portable Légère, Basses intenses, Style Tendance, Étanche Eau et Poussière IP67, Autonomie 14h, USB-C, Prise Jack, 3.5W) Blanc', 'Hama Enceinte Bluetooth Pocket 3.0"" (Mini Enceinte sans Fil Portable Légère, Basses intenses, Style Tendance, Étanche Eau et Poussière IP67, Autonomie 14h, USB-C, Prise Jack, 3.5W) Noir', 'Hama Enceinte Bluetooth Etanche (Enceinte Nomade Bluetooth, TWS, IPX5, pour Smartphone, PC Portable, Haut-Parleur PC sans Fil Portable, Rechargeable USB-C, Batterie 12h, 20W) Noir']"
