Programme=[Retail],Aperçu du distributeur.=[Approvisionnement.],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/06/2024 - 30/06/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"4 607,28 €","23,44 %","91,89 %","5 544,22 €","23,44 %","107,89 %",79,"23,44 %","107,89 %",11,"0,00 %","266,67 %"
B074JDHBXG,"Hama Cadre en Plastique Madrid (Taille de Cadre de 21 cm x 29,7 cm, Taille de la Photo de 15 cm x 20 cm, 1 Photo par Cadre, à accrocher, élégant, Simple, Classique) Noir",Hama,"2 967,69 €","8,23 %","44,23 %","1 768,47 €","12,28 %","62,38 %",759,"12,28 %","61,83 %",7,"40,00 %","-22,22 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"1 958,04 €","36,11 %","62,21 %","1 053,99 €","36,11 %","110,00 %",147,"36,11 %","110,00 %",,"-100,00 %","-100,00 %"
B071ZVN9LP,"Hama Albums photos ""Designline"" (couverture souple, 24 pages pour 24 photos au format 10x15 cm par album, résistant, pour archiver avec des anecdotes, protège la photo, mini album) Multicolore",Hama,"1 532,59 €","-1,28 %","100,97 %","981,22 €","-10,94 %","83,29 %",1 115,"-10,94 %","81,30 %",14,"-53,33 %","133,33 %"
B08YS1PZWL,"Hama Adaptateur Jack 6.35 vers 3.5 Garantie 10 Ans (Adaptateur Audio 6.35mm Mâle vers 3.5mm Femelle, Stéréo, Prise Casque, Audio Connecteur Stéréo pour Mélangeur Audio/Piano électrique/Clavier) Noir",Hama,"1 381,16 €","140,05 %",,"615,84 €","164,38 %",,292,"170,37 %",,1,"0,00 %",
B00A44OC0G,"Hama Barre Multiprise 6 Prises avec Interrupteur Et Sécurité Enfant Cble Blanc 5 M",Hama,"1 362,16 €","421,76 %","112,65 %","1 157,20 €","633,33 %","222,10 %",110,"633,33 %","197,30 %",,"-100,00 %","-100,00 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"1 335,06 €","-31,32 %","-36,56 %","704,41 €","3,30 %","-43,84 %",175,"9,38 %","-38,16 %",1,"-66,67 %","-50,00 %"
B00006JAXW,"Hama Plateau Universel Hama Rond (40 cm, Taille XL, Poids supporté 100 kg (idéal pour TV, Enceintes, écrans, appareils de Cuisine) Noir",Hama,"1 320,57 €","66,39 %","133,90 %","828,98 €","63,24 %","117,65 %",54,"68,75 %","125,00 %",4,"300,00 %",
B0013IPAJY,"Hama Kit de Nettoyage et de réparation pour CD/DVD (25 ML de pâte de réparation, 45 ML de Liquide nettoyant, 1 Coque de Nettoyage, 5 Chiffons, 8 pièces) Blanc/Bleu/Rouge/Noir",Hama,"1 160,49 €","-3,47 %","330,00 %","779,22 €","-3,57 %","350,00 %",54,"-3,57 %","350,00 %",,"-100,00 %","-100,00 %"
B0053DXXJO,"Xavax Thermomètre analogique pour réfrigérateur, freezer ou congélateur (à suspendre au réfrigérateur, congélateur, cave à vin, minibar, minimum -30 degrés, maximum 50 degrés, format rond) Blanc",xavax,"973,44 €","-18,18 %","1 729,77 %","694,98 €","-18,18 %","1 850,00 %",234,"-18,18 %","1 850,00 %",,"-100,00 %",
B00006J4G7,"Hama Présentoir de Distributeur de pastilles adhésives (500 coins photos, diamètre de 10 mm, papier/viskose) Transparent",Hama,"949,52 €","20,68 %","153,10 %","660,66 €","20,68 %","161,10 %",286,"20,68 %","153,10 %",4,"-20,00 %",
B0002W5WBS,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 50) Noir/Transparent",Hama,"886,16 €","169,89 %","61,20 %","475,00 €","171,43 %","72,73 %",38,"171,43 %","72,73 %",,,
B097HN8V5V,"Hama Câble d'Antenne TV (Cable TV Coaxial Mâle - Coaxial Femelle, 85 db, 1.5m, Connexion d'un Téléviseur vers une Fiche TV Murale ou vers un Décodeur) Blanc",Hama,"872,33 €","161,98 %","5 727,19 %","839,04 €","184,54 %","9 100,00 %",276,"184,54 %","9 100,00 %",1,"-66,67 %",
B07CLVR52S,"Hama Album photo enfant ""Batzi"" (taille de l'album de 19 x 25 cm, format pour 200 photos 10 x 15 cm, avec 100 pages, papier stratifié, insertion latérale des photos, ours debout) Marron",Hama,"853,11 €","6,73 %","458,35 %","613,44 €","41,18 %","705,57 %",96,"41,18 %","700,00 %",1,,
B0000AI3G4,"Hama Cadre en plastique Madrid (taille de cadre de 50 cm x 70 cm, taille de la photo de 30 cm x 45 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"824,56 €","266,67 %","76,00 %","425,92 €","266,67 %","76,00 %",44,"266,67 %","76,00 %",1,"-80,00 %","-75,00 %"
B08SFG3JH5,"Hama Album photo ""To The Moon"" (Album souvenirs Anniversaires, Baptême, Baby Shower, Idée cadeau, 22.5x22 cm, 100 pages blanches, Zone Mémo, 200 photos 10x15 cm, Insertion latérale) Multicolore",Hama,"801,54 €","12,68 %","137,04 %","640,94 €","17,74 %","151,72 %",73,"17,74 %","151,72 %",1,"0,00 %",
B01MS2OU9J,"Hama Chambre à air de vélo (Taille de 26"", avec Valve Automatique, Schrader) Noir",Hama,"778,44 €","-10,34 %","52,94 %","555,13 €","-10,38 %","57,14 %",156,"-10,34 %","52,94 %",,"-100,00 %",
B0015NS8JQ,"Hama Chemin de câble (en PVC, semi-circulaire, 100 x 7 x 2,1 cm) Noir",Hama,"776,88 €","95,00 %","3 800,00 %","332,67 €","95,00 %","2 358,76 %",39,"95,00 %","3 800,00 %",35,,
B07MPQTNXF,"Xavax Sangle d’arrimage de sécurité avec cliquet pour sèche-linge, Blanc/Gris",xavax,"768,97 €","1,72 %","111,24 %","548,59 €","10,78 %","156,25 %",82,"10,81 %","156,25 %",7,"133,33 %","600,00 %"
B0083M13TY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 29,7 x 42 cm (DIN A3) avec bordure de 9 mm x 17 mm, pour une photo de 18 x 24 cm, verre en polystyrène) Noir",Hama,"766,78 €","-27,70 %","-34,87 %","443,90 €","-32,22 %","-38,08 %",77,"-28,04 %","-28,04 %",1,"0,00 %","-88,89 %"
B06X9NRXV9,"Hama Album photo vierge ""Lazise"" (album photo traditionnel 29 cm x 32 cm, 50 pages blanches, pour 250 photos 10 cm x 15 cm, format maximum 28 cm x 31 cm) Doré/Blanc",Hama,"718,41 €","20,36 %","28,54 %","474,81 €","41,67 %","27,81 %",51,"41,67 %","27,50 %",1,"-50,00 %",
B0000AHICV,"Hama Boîtier CD/DVD Slim (lot de 10 boitiers standards vierges pour CD/DVD et disques Blu-ray, ultra plat) Noir/Transparent",Hama,"708,35 €","-4,91 %","18,32 %","519,25 €","-4,91 %","18,32 %",155,"-4,91 %","18,32 %",2,,"-60,00 %"
B08GSRV3PB,"Hama Tête Thermostatique Connectée et Intelligente WiFi (pour Kit de Chauffage Connecté 00176592 Compatible Alexa Google Home, Robinet Intelligent pour Radiateur à Eau Chaude) Blanc",Hama,"664,85 €",,,"1 328,70 €",,,40,,,1,"-75,00 %",
B01N2RIZMU,"Xavax Socle universel ""Gigant"" (60 x 60 cm, augmentation de 50 cm, socle stable avec compartiment inférieur, pieds réglables en hauteur, socle pour lave-linge/sèche-linge) Blanc",xavax,"662,50 €","-54,55 %","-37,85 %","472,05 €","-54,55 %","-37,50 %",5,"-54,55 %","-37,50 %",,,
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"658,72 €","30,90 %","-6,37 %","461,38 €","53,33 %","15,00 %",46,"53,33 %","15,00 %",1,"-66,67 %",
B09FBSCB6Q,"Hama Album photo à spirale ""Craft"" (Album souvenirs mariage, anniversaire, baptême, 24x17 cm, 40 pages en papier Kraft chic à personnaliser et à coller, jusqu'à 40 photos de 10 x 15 cm) Marron",Hama,"657,33 €","55,67 %","1 070,46 %","465,00 €","88,68 %","1 011,11 %",100,"88,68 %","1 011,11 %",,"-100,00 %",
B01DF1YLXM,"Hama Ventilateur de table USB (Mini Ventilateur de bureau 10 cm (4""), Bouton ON/OFF, inclinable, idéal aussi pour Chambre, Voiture, Camping) Noir",Hama,"650,89 €","3 544,40 %","-42,81 %","427,11 €","3 175,38 %","-30,04 %",68,"3 300,00 %","-33,98 %",,,"-100,00 %"
B0BNLLF6YV,"Hama iTuner Hi-FI DIT2105SBTX Dab+ Bluetooth (Tuner Internet Radio FM Dab, Tuner HiFi, Radio numérique, RX/TX, WiFi, Spotify Connect, Amazon Music, App UNDOCK, Port USB, télécommande) Noir",Hama,"641,46 €","-24,47 %",,"597,00 €","-30,09 %",,3,"-25,00 %",,,"-100,00 %",
B001F4ZWDK,"Hama Pochettes en polypropylène pour CD/DVD, paquet de 75, Transparent",Hama,"599,20 €","20,16 %","36,10 %","372,99 €","23,38 %","74,02 %",80,"23,08 %","73,91 %",1,"0,00 %","-66,67 %"
B08GS8FVB5,"Hama Destructeur de Documents Basic S6 (Broyeur de Documents, Sécurité P-2, 6 Feuilles, Corbeille 8L, Découpe en Bandes 6mm, 70 DB, M/A Auto, Idéal Bureau & Maison) Noir",Hama,"571,69 €","6,26 %","6,42 %","434,49 €","10,53 %","10,53 %",21,"10,53 %","10,53 %",,"-100,00 %",
B07PSPRGMT,"THOMSON Casque TV HQ HED4508 (câble Extra Long de 8 m, Casque stéréo pour TV, réglage du Volume séparé, Embout Filaire, Prise 3,5 mm avec Adaptateur de 6,35 mm) Noir",Thomson,"560,71 €","-0,89 %",,"567,53 €","0,00 %",,19,"0,00 %",,1,,
B0002W5WEU,"Hama Boîtier Slim (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"540,86 €","-12,10 %","-24,12 %","387,78 €","-13,98 %","-33,93 %",37,"-13,95 %","-33,93 %",,"-100,00 %",
B07Q8VBZ5M,"Hama X-Pointer 6in1 Télécommande Pointeur Laser - 6 en 1, Laser Rouge, Fonction Air Mouse, Technologie Smart-Link, sans Fil 2.4 GHz - pour présentation Powerpoint - Noir",Hama,"533,01 €","546,31 %",,"604,80 €","600,00 %",,21,"600,00 %",,1,,
B0015IOV8S,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 40 cm avec bordure de 13 mm x 17 mm, pour une photo de 28 x 28 cm) Noir",Hama,"509,76 €","-25,79 %",,"355,68 €","-25,00 %",,36,"-25,00 %",,4,"300,00 %",
B06ZZTWSQG,"Hama Multiprise Etanche 4 Prises 16A avec Interrupteur (Rallonge multiprises extra long 4m, Bloc 4 prises étanches avec couvercle Type F Schuko, 3680W, Idéal Jardin, Garage, Atelier, Chantier ) Noir",Hama,"508,56 €","112,54 %","-49,05 %","303,14 €","109,09 %","-41,43 %",23,"109,09 %","-46,51 %",,"-100,00 %",
B0000AI2T9,"Hama Cadre photo en plastique ""Sevilla"" (taille du Cadre de 40 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 45 cm) Blanc",Hama,"508,53 €","725,00 %","1 550,00 %","311,85 €","725,00 %","1 550,00 %",33,"725,00 %","1 550,00 %",2,,
B08SFGZ9T3,"Hama Tuner Hi-FI Radio Internet,Dab/Dab+/FM, Bluetooth 'DIT2006BT' (Tuner HiFi Radio numérique WiFi, Spotify Connect, UNDOK App Control pour Smartphone ou Tablette, USB/AUX, Réveil) Noir",Hama,"500,44 €",,"50,63 %","478,02 €",,"50,00 %",3,,"50,00 %",,,
B000EORX52,"Hama Boîtier Slim (pour CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Transparent",Hama,"490,20 €","15,01 %",,"384,43 €","15,63 %",,37,"15,63 %",,1,,
B006L9T90G,"Ventilateur USB avec LEDs de couleur",Hama,"468,02 €","519,81 %","108,97 %","324,24 €","522,22 %","113,13 %",56,"522,22 %","107,41 %",,"-100,00 %",
B01E4877WC,"Hama Antivol à combinaison ""USB"" (pour ordinateur portable, câble de 1,8 m, diamètre de 5, 5mm, sans clé, avec code) Argent",Hama,"441,06 €","918,14 %","66,80 %","333,90 €","950,00 %","61,54 %",21,"950,00 %","61,54 %",,,
B07RHGG3S7,"Hama Horloge murale radio-pilotée ""Extra"" (avec indicateur de date et température) Blanc et Argenté",Hama,"427,78 €","-6,22 %","1 069,44 %","328,68 €","-8,33 %","1 000,00 %",11,"-8,33 %","1 000,00 %",1,"-50,00 %",
B07T4DM8JJ,"Hama Album photos enfant mémo ""Forest"" (livre photo 100 pages à pochettes, 200 photos 10x15 cm, album souvenirs 22,5 x 22 cm, Emplacement CD, Album Motif Renards) Marron/Beige/Vert/Orange/Blanc",Hama,"423,87 €","-46,19 %","88,68 %","226,56 €","-57,01 %","65,03 %",41,"-52,33 %","95,24 %",2,"100,00 %",
B0BHZFGZ5Y,"Hama Casque Audio Shell (Casque Circum-Auriculaire Stéréo, 20 Hz-20 kHz, 32 ohms, 113 DB/MW, Jack 3.52mm mâle, Adaptateur Jack 6.35mm mâle Inclus, câble Extra Long 2 m) Noir",Hama,"416,54 €","-4,71 %","1 011,66 %","335,68 €","-8,57 %","966,67 %",32,"-8,57 %","966,67 %",,,"-100,00 %"
B0000AISCX,"Hama Cadre Photo Clip-Fixe (sans Bordure, 30 X 45 Cm, Anti-Reflex) Blanc",Hama,"416,00 €","-28,57 %","3 990,46 %","223,00 €","-28,57 %","4 900,00 %",50,"-28,57 %","4 900,00 %",13,"18,18 %",
B07SHMY2ZM,"Hama Horloge Murale PP-245 (Radio-pilotée DCF, Pendule sans tic tac, numérique, à LED, sans Fil, avec Piles, Format 24h, Calendrier, Jour, thermomètre 0°C à -50°C, Pause Murale ou Bureau) Noir",Hama,"412,35 €","21,91 %","396,87 %","325,20 €","25,00 %","400,00 %",15,"25,00 %","400,00 %",,"-100,00 %",
B000K985GC,"Hama Boîtier Standard (pour DVD, Convient également aux CD et aux Blu-Ray, avec Film pour l'insertion de la Jaquette, Lot de 30) Noir",Hama,"407,84 €","88,29 %","-41,88 %","266,38 €","90,00 %","-42,45 %",19,"90,00 %","-42,42 %",,,
B0BL1RD6VH,"Hama Testeur de piles Universel (Testeur de batterie Universel pour piles AA/AAA/C/D/N/E/CR123A/CR2/CR-V3/1,5V/3V/2CR5/CR P2, piles boutons, Afficheur LCD) Gris",Hama,"399,68 €","90,47 %",,"351,68 €","100,00 %",,32,"100,00 %",,,,
B0002W5WE0,"Hama Boîtier Slim Double (pour DVD, Convient également aux CD et disques Blu-Ray, Ultra Mince, avec Une Feuille pour la Couverture, Lot de 25) Noir/Transparent",Hama,"399,60 €","-23,08 %","88,24 %","331,50 €","-22,73 %","139,09 %",30,"-23,08 %","130,77 %",1,,
B07TYWBSZN,"Hama Album photo Jumbo ""Forest"" (pour 400 photos au format 10 x 15 cm, album traditionnel enfant de 30 x 30 cm, 100 pages blanches, animaux, élégant) Marron/Beige/Vert/Orange/Jaune",Hama,"375,63 €","-22,40 %","51,73 %","186,97 €","-22,15 %","23,01 %",21,"-25,00 %","40,00 %",,"-100,00 %",
B001JTV1HW,"Hama Boîtier standard (pour DVD, convient également aux CD et aux Blu-ray, avec film pour l'insertion de la jaquette, lot de 5) Transparent",Hama,"374,74 €","-13,68 %","331,53 %","242,72 €","-13,68 %","294,15 %",82,"-13,68 %","290,48 %",,"-100,00 %",
B0026MT4CA,"Xavax Rallonge de tuyau d'arrivée d'eau froide (pour tuyau de lavage et lave-vaisselle, tuyau d'arrivée d'eau froide, 2,5 m, 1 pièce) Gris/Blanc",xavax,"372,12 €","-42,96 %","-52,80 %","218,26 €","-47,52 %","-55,44 %",38,"-45,71 %","-53,66 %",,"-100,00 %",
B0000AI2JY,"Hama Cadre photo en plastique Sevilla (taille du Cadre de 50 x 60 cm avec bordure de 13 mm x 20 mm, pour une photo de 30 x 40 cm) Noir",Hama,"366,40 €","-33,33 %",,"216,60 €","-33,33 %",,20,"-33,33 %",,2,"0,00 %",
