Programme=[Retail],Aperçu du distributeur.=[Fabrication],Afficher par=[ASIN],Pays=[FR],Entreprises=[~ Hama EURL (FR)],Local=[fr_FR],Devise=[EUR],Intervalle des rapports=[Mois],Champ de vision.=[01/04/2024 - 30/04/2024],Rapport mis à jour=[04/04/2025]
ASIN,"Nom du produit",Marque,"Chiffre d’affaires basé sur les commandes","Revenus basés sur les commandes – Période antérieure (%)","Revenus basés sur les commandes – Même période l'année dernière (%)","Unités commandées","Unités commandées – Période antérieure (%)","Unités commandées – Même période l'année dernière (%)","Chiffre d’affaires basé sur les expéditions","Revenus basés sur les expéditions – Période antérieure (%)","Revenus basés sur les expéditions – Même période l'année dernière (%)","COGS expédié","COGS expédié – Période antérieure (%)","COGS expédié – Même période l'année dernière (%)","Unités expédiées","Unités expédiées – Période antérieure (%)","Unités expédiées – Même période l'année dernière (%)","Retours client","Retours du client – Période antérieure (%)","Retours du client – Même période l'année dernière (%)"
B00005QFCJ,"Hama Adaptateur Cassette VHS-C/VHS (Convertisseur Vidéo VHS C vers VHS, Cassette Adaptatrice Motorisée pour magnétoscope, 6 Mm, Non Compatible 8mm/MiniDV/Hi8) Noir",Hama,"6 181,40 €","-30,42 %","-22,81 %",209,"-33,65 %","-32,80 %","6 595,45 €","-22,57 %","-17,11 %","4 567,16 €","-26,44 %","-24,50 %",223,"-26,40 %","-27,83 %",14,"-68,18 %","-58,82 %"
B00EUSMHE0,"THOMSON Kit Casque sans Fil TVWHP3203D (on-Ear, pour TV/HiFi, Circum-aural, supprimer Bruit Fond, 100 m) Noir",Thomson,"3 833,03 €","332,49 %","2 979,73 %",65,"364,29 %","3 150,00 %","3 663,07 €","345,11 %","2 843,17 %","4 351,16 €","376,92 %","4 095,51 %",62,"376,92 %","3 000,00 %",5,,"25,00 %"
B00D2S92L0,"Xavax Hama Boîte de transport pour un gâteau (boîte rond, Ø 31,5 x 8cm, avec diviseur, capote et compartiments, partie de service et gâteau de gâteau) Anthracite/Transparent",xavax,"3 820,67 €","108,30 %","89,85 %",287,"170,75 %","139,17 %","3 814,53 €","109,96 %","98,54 %","2 043,45 €","171,43 %","166,38 %",285,"171,43 %","147,83 %",4,"-60,00 %","300,00 %"
B01N6NQ73J,"Thomson Casque TV avec câble extra long (Casque d'écoute ajustable et rembouré, Cordon 8m, Idéal pour regarder la télé, écouter la musique, contrôle du volume, prise jack 3,5mm+adaptat. 6,35mm) Noir",Thomson,"3 709,40 €","-28,23 %","14,32 %",249,"-28,45 %","17,45 %","3 828,76 €","-24,40 %","22,28 %","2 834,59 €","-24,25 %","38,89 %",257,"-24,63 %","25,98 %",7,"-84,44 %","-56,25 %"
B0000AIRY7,"Hama Cadre en plastique Madrid (taille de cadre de 30 cm x 40 cm, taille de la photo de 20 cm x 28 cm, 1 photo par cadre, à accrocher, élégant, simple, classique) Noir",Hama,"3 488,31 €","-49,83 %","105,34 %",441,"-49,83 %","221,90 %","3 836,35 €","-42,81 %","110,46 %","2 022,45 €","-42,81 %","247,71 %",485,"-42,81 %","229,93 %",26,"-16,13 %","136,36 %"
B00006J4EP,"Hama Boîtier standard (pour CD et disques Blu-Ray, Étui protecteur pour CD, paquet de 10) Noir/Transparent",Hama,"3 398,76 €","-7,91 %","-24,02 %",294,"-0,68 %","-46,55 %","3 479,88 €","-5,57 %","-15,68 %","1 342,62 €","-7,81 %","-41,83 %",300,"1,35 %","-40,48 %",2,"-75,00 %","-66,67 %"
B000EORX5W,"Hama 00033833 Pochette, Noir (pour 120 CD/DVD/Blu-ray, classeur de rangement, gain de place pour le bureau, le salon et la maison, étuis de transport)",Hama,"2 461,70 €","26,81 %","30,34 %",158,"38,60 %","36,21 %","2 555,74 €","40,75 %","40,74 %","1 471,07 €","55,55 %","58,00 %",164,"54,72 %","47,75 %",3,"-40,00 %","200,00 %"
B07GLF5SMF,"Hama Album Photo ""Fine Art"" (format 30 x 30 cm, 100 pages noires, sans spirale) Noir",Hama,"2 453,68 €","-4,14 %","78,55 %",168,"-3,45 %","118,18 %","2 500,44 €","-5,77 %","84,45 %","1 725,16 €","-4,44 %","141,46 %",172,"-4,44 %","126,32 %",1,"-94,12 %","-50,00 %"
B003PFBLOQ,"Hama Horloge murale ""PP-245"" (radio-pilotée DCF, Pendule sans Tic Tac, Numérique, à led, sans fil, avec des piles, Format 24h, Calendrier, Jour, Thermomètre 0°C à +50°C, pause murale ou bureau) Plastique, Noir",Hama,"2 413,59 €","-10,19 %","95,41 %",96,"-4,00 %","128,57 %","2 369,37 €","-9,97 %","99,92 %","1 670,34 €","-4,16 %","152,16 %",94,"-4,08 %","135,00 %",,"-100,00 %","-100,00 %"
B0009V6Q30,"Hama Boîtier Slim (pour CD et disques Blu-ray, ultra mince, avec une feuille pour la couverture, lot de 25) Transparent/Bleu/Orange/Vert/Rouge/Violet",Hama,"2 287,71 €","-6,15 %","748,15 %",229,"-6,15 %","748,15 %","2 397,60 €","2,13 %","1 042,86 %","2 197,73 €","-3,91 %","1 135,51 %",240,"2,13 %","1 042,86 %",3,"-75,00 %","0,00 %"
